%time,field.time_val,field.id_val,field.position_val,field.speed_val,field.voltage_val,field.current_val
1680087047271382221,1703180,8,2999,0,72,0
1680087047272487221,1703182,9,3210,0,73,0
1680087047279100388,1703184,10,3122,0,73,0
1680087047280197971,1703187,11,1010,0,73,0
1680087047281334013,1703189,12,1591,0,73,0
1680087047282638013,1703190,13,1876,0,72,0
1680087047283579013,1703192,14,2885,0,73,0
1680087047287959846,1703194,15,1227,0,73,0
1680087047289098971,1703197,16,1111,0,72,0
1680087047301325054,1703216,1,2081,0,74,1
1680087047308921304,1703219,2,3121,0,73,0
1680087047310065346,1703221,3,3034,0,73,0
1680087047311305804,1703223,4,2096,0,73,0
1680087047318897388,1703225,5,1347,0,74,0
1680087047320262638,1703227,6,3763,0,73,0
1680087047321446179,1703229,7,2620,0,73,0
1680087047322452513,1703231,8,2999,0,72,0
1680087047323596179,1703233,9,3210,0,73,0
1680087047330240679,1703235,10,3122,0,73,0
1680087047331294929,1703238,11,1010,0,73,0
1680087047332439346,1703239,12,1591,0,72,0
1680087047333561263,1703241,13,1876,0,72,0
1680087047334975721,1703243,14,2885,0,73,0
1680087047340312971,1703245,15,1227,0,74,0
1680087047341401096,1703248,16,1111,0,72,0
1680087047352602388,1703267,1,2081,0,74,0
1680087047360402096,1703270,2,3121,0,73,0
1680087047361506346,1703272,3,3035,0,73,0
1680087047362642096,1703274,4,2096,0,73,0
1680087047370329763,1703276,5,1347,0,73,0
1680087047371456554,1703278,6,3763,0,74,0
1680087047372552429,1703280,7,2620,0,73,0
1680087047373689721,1703282,8,2999,0,72,0
1680087047374802388,1703284,9,3210,0,73,0
1680087047381366763,1703286,10,3121,0,73,0
1680087047382484429,1703289,11,1010,0,73,0
1680087047383593596,1703291,12,1591,0,73,0
1680087047384722179,1703293,13,1876,0,72,0
1680087047385845138,1703294,14,2886,0,73,0
1680087047390352346,1703296,15,1227,0,74,0
1680087047391370763,1703299,16,1111,0,72,0
1680087047403540513,1703318,1,2081,0,74,0
1680087047411176888,1703321,2,3121,0,73,0
1680087047412215971,1703323,3,3034,0,73,0
1680087047413285429,1703325,4,2096,0,73,0
1680087047421039346,1703327,5,1347,0,74,0
1680087047422248221,1703329,6,3763,0,73,0
1680087047423311138,1703331,7,2620,0,73,0
1680087047424434471,1703333,8,2999,0,72,0
1680087047425547513,1703335,9,3210,0,72,0
1680087047431114680,1703337,10,3121,0,72,0
1680087047432196930,1703340,11,1010,0,73,0
1680087047433342430,1703342,12,1591,0,72,0
1680087047434449221,1703344,13,1876,0,72,0
1680087047435655805,1703346,14,2885,0,72,0
1680087047442088971,1703347,15,1228,0,74,0
1680087047443215680,1703350,16,1111,0,72,0
1680087047454136180,1703369,1,2081,0,74,0
1680087047461943763,1703372,2,3121,0,73,0
1680087047463097388,1703374,3,3035,0,73,0
1680087047464231471,1703376,4,2096,0,73,0
